City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
98,Whitianga,64,NZ,1519146257,100,-36.83,175.7,71.2,18.01
99,Namibe,24,AO,1519146257,100,-15.19,12.15,76.11,8.05
100,Dunkwa,44,GH,1519146260,80,5.97,-1.78,83.04,4.81
101,Sisimiut,12,GL,1519146262,77,66.94,-53.67,-8.23,2.13
102,Lasa,32,CY,1519146262,100,34.92,32.53,54.96,3.47
104,Luebo,24,CD,1519146293,90,-5.35,21.42,72.78,1.34
105,Awbari,88,LY,1519146294,29,26.59,12.77,64.41,5.14
106,Kautokeino,0,NO,1519146294,61,69.01,23.04,-13.72,2.57
107,Brae,88,GB,1519146295,90,60.4,-1.35,44.65,15.43
108,Northam,0,GB,1519146295,84,51.04,-4.21,43.98,16.22
109,Tura,8,IN,1519146296,76,25.52,90.21,59.77,3.13
110,Tatishchevo,20,RU,1519146297,83,51.67,45.59,17.2,9.17
111,Scottsbluff,1,US,1519141980,70,41.87,-103.67,-2.21,5.82
112,San Jeronimo,75,PE,1519142400,71,-13.65,-73.37,51.8,2.57
113,Leh,48,IN,1519146298,55,34.16,77.58,-11.15,1.01
114,Nabire,68,ID,1519146298,98,-3.36,135.5,66.75,1.68
116,Himensulan,80,PH,1519146330,100,10.6,124.28,80.34,10.4
117,Arraial do Cabo,20,BR,1519146000,55,-22.97,-42.02,89.6,17.22
119,Porto Novo,40,BR,1519146000,55,-23.68,-45.44,86,6.93
120,Pleasanton,40,US,1519145220,51,37.66,-121.87,42.8,3.24
121,Bundaberg,68,AU,1519146367,100,-24.87,152.35,77.5,17.22
122,Horta,8,ES,1519146367,100,41.43,2.16,52.71,3.8
123,Dembi Dolo,44,ET,1519146368,86,8.53,34.8,68.37,1.79
124,Nikolskoye,64,RU,1519146368,81,59.7,30.79,14.01,4.59
125,Nador,0,MA,1519146200,97,35.17,-2.93,58.56,4.59
126,Hermanus,36,ZA,1519146369,73,-34.42,19.24,66.3,7.38
127,Petropavlovsk-Kamchatskiy,0,RU,1519146369,100,53.05,158.65,4.65,2.91
128,Lishui,80,CN,1519146370,100,28.45,119.91,45.96,2.13
129,Katsuura,76,JP,1519146370,92,33.93,134.5,34.3,4.47
133,Cap Malheureux,92,MU,1519146463,100,-19.98,57.61,81.15,5.14
134,Antalaha,92,MG,1519146463,99,-14.9,50.28,77.64,4.59
137,Uruacu,24,BR,1519146534,98,-14.52,-49.14,78.4,4.7
138,Irkutsk,36,RU,1519146534,67,52.29,104.28,1.27,2.8
139,Chute-aux-Outardes,64,CA,1519146535,71,49.12,-68.38,21.52,9.73
140,Soyo,64,AO,1519146535,91,-6.13,12.37,78.09,5.48
141,Praia da Vitoria,36,PT,1519146535,98,38.73,-27.07,62.61,26.96
142,Ewa Beach,1,US,1519142220,77,21.32,-158.01,64.4,3.36
143,Abashiri,44,JP,1519146536,58,44.01,144.25,1.99,2.91
144,San Policarpo,92,PH,1519146537,99,12.18,125.51,78.49,12.86
145,Tarata,0,PE,1519146537,35,-17.47,-70.03,62.79,2.91
146,Likasi,24,CD,1519146537,84,-10.99,26.74,74.04,2.24
147,Nuuk,90,GL,1519145400,100,64.17,-51.74,1.4,16.11
148,Iracoubo,100,GF,1519146538,75,5.48,-53.21,79.26,6.38
150,Linfen,80,CN,1519146569,77,36.09,111.52,28.45,2.8
151,Zhigansk,56,RU,1519146570,38,66.77,123.37,-25.24,6.15
152,Turukhansk,0,RU,1519146574,30,65.8,87.96,-20.65,2.68
153,Cayenne,75,GF,1519144200,74,4.94,-52.33,82.4,16.11
155,Marabba,0,SD,1519146605,25,12.35,32.18,83.13,8.16
156,Naliya,0,IN,1519146606,73,23.26,68.83,68.77,7.16
157,Hithadhoo,76,MV,1519146607,100,-0.6,73.08,82.27,7.16
159,Morant Bay,20,JM,1519142400,48,17.88,-76.41,87.8,18.34
160,Karratha,12,AU,1519146639,78,-20.74,116.85,79.57,7.38
161,Bangui,8,CF,1519146610,75,4.39,18.55,81.87,2.68
